dot1xPaePortCapabilities.1 = 
dot1xPaePortCapabilities.2 = 
dot1xPaePortCapabilities.3 = 
dot1xPaePortCapabilities.4 = 
dot1xPaePortCapabilities.5 = 
dot1xPaePortCapabilities.6 = 
dot1xPaePortCapabilities.7 = 
dot1xPaePortCapabilities.8 = 
dot1xPaePortCapabilities.9 = 
dot1xPaePortCapabilities.10 = 
dot1xAuthQuietPeriod.10 = 60
dot1xAuthTxPeriod.1 = 30
dot1xAuthTxPeriod.2 = 30
dot1xAuthTxPeriod.3 = 30
dot1xAuthTxPeriod.4 = 30
dot1xAuthTxPeriod.5 = 30
dot1xAuthTxPeriod.6 = 30
dot1xAuthTxPeriod.7 = 30
dot1xAuthTxPeriod.8 = 30
dot1xAuthTxPeriod.9 = 30
dot1xAuthTxPeriod.10 = 30
[62;1H[2K-- MORE --, next page: Space, next line: Enter, quit: Control-C[62;1H[62;1H[2K[62;1H[1;62r[62;1Hdot1xAuthSuppTimeout.1 = 30
dot1xAuthSuppTimeout.2 = 30
dot1xAuthSuppTimeout.3 = 30
dot1xAuthSuppTimeout.4 = 30
dot1xAuthSuppTimeout.5 = 30
dot1xAuthSuppTimeout.6 = 30
dot1xAuthSuppTimeout.7 = 30
dot1xAuthSuppTimeout.8 = 30
dot1xAuthSuppTimeout.9 = 30
dot1xAuthSuppTimeout.10 = 30
dot1xAuthServerTimeout.1 = 300
dot1xAuthServerTimeout.2 = 300
dot1xAuthServerTimeout.3 = 300
dot1xAuthServerTimeout.4 = 300
dot1xAuthServerTimeout.5 = 300
dot1xAuthServerTimeout.6 = 300
dot1xAuthServerTimeout.7 = 300
dot1xAuthServerTimeout.8 = 300
dot1xAuthServerTimeout.9 = 300
dot1xAuthServerTimeout.10 = 300
dot1xAuthMaxReq.1 = 2
dot1xAuthMaxReq.2 = 2
dot1xAuthMaxReq.3 = 2
dot1xAuthMaxReq.4 = 2
dot1xAuthMaxReq.5 = 2
dot1xAuthMaxReq.6 = 2
dot1xAuthMaxReq.7 = 2
dot1xAuthMaxReq.8 = 2
dot1xAuthMaxReq.9 = 2
dot1xAuthMaxReq.10 = 2
dot1xAuthReAuthPeriod.1 = 3600
dot1xAuthReAuthPeriod.2 = 3600
dot1xAuthReAuthPeriod.3 = 3600
dot1xAuthReAuthPeriod.4 = 3600
dot1xAuthReAuthPeriod.5 = 3600
dot1xAuthReAuthPeriod.6 = 3600
dot1xAuthReAuthPeriod.7 = 3600
dot1xAuthReAuthPeriod.8 = 3600
dot1xAuthReAuthPeriod.9 = 3600
dot1xAuthReAuthPeriod.10 = 3600
dot1xAuthReAuthEnabled.1 = 2
dot1xAuthReAuthEnabled.2 = 2
dot1xAuthReAuthEnabled.3 = 2
dot1xAuthReAuthEnabled.4 = 2
dot1xAuthReAuthEnabled.5 = 2
dot1xAuthReAuthEnabled.6 = 2
dot1xAuthReAuthEnabled.7 = 2
dot1xAuthReAuthEnabled.8 = 2
dot1xAuthReAuthEnabled.9 = 2
dot1xAuthReAuthEnabled.10 = 2
dot1xAuthKeyTxEnabled.1 = 2
dot1xAuthKeyTxEnabled.2 = 2
dot1xAuthKeyTxEnabled.3 = 2
dot1xAuthKeyTxEnabled.4 = 2
dot1xAuthKeyTxEnabled.5 = 2
dot1xAuthKeyTxEnabled.6 = 2
dot1xAuthKeyTxEnabled.7 = 2
dot1xAuthKeyTxEnabled.8 = 2
dot1xAuthKeyTxEnabled.9 = 2
dot1xAuthKeyTxEnabled.10 = 2
lldpMessageTxInterval.0 = 30
lldpMessageTxHoldMultiplier.0 = 4
lldpReinitDelay.0 = 2
lldpTxDelay.0 = 2
lldpNotificationInterval.0 = 5
lldpPortConfigAdminStatus.1 = 3
lldpPortConfigAdminStatus.2 = 3
lldpPortConfigAdminStatus.3 = 3
lldpPortConfigAdminStatus.4 = 3
lldpPortConfigAdminStatus.5 = 3
lldpPortConfigAdminStatus.6 = 3
lldpPortConfigAdminStatus.7 = 3
lldpPortConfigAdminStatus.8 = 3
lldpPortConfigAdminStatus.9 = 3
lldpPortConfigAdminStatus.10 = 3
lldpPortConfigNotificationEnable.1 = 1
lldpPortConfigNotificationEnable.2 = 1
lldpPortConfigNotificationEnable.3 = 1
lldpPortConfigNotificationEnable.4 = 1
lldpPortConfigNotificationEnable.5 = 1
lldpPortConfigNotificationEnable.6 = 1
lldpPortConfigNotificationEnable.7 = 1
lldpPortConfigNotificationEnable.8 = 1
lldpPortConfigNotificationEnable.9 = 1
lldpPortConfigNotificationEnable.10 = 1
lldpPortConfigTLVsTxEnable.1 = f0 
lldpPortConfigTLVsTxEnable.2 = f0 
lldpPortConfigTLVsTxEnable.3 = f0 
lldpPortConfigTLVsTxEnable.4 = f0 
lldpPortConfigTLVsTxEnable.5 = f0 
lldpPortConfigTLVsTxEnable.6 = f0 
lldpPortConfigTLVsTxEnable.7 = f0 
lldpPortConfigTLVsTxEnable.8 = f0 
lldpPortConfigTLVsTxEnable.9 = f0 
lldpPortConfigTLVsTxEnable.10 = f0 
lldpConfigManAddrPortsTxEnable.1.4.172.23.34.47 = 00 00  00 00   00 00  00 00    
lldpStatsRemTablesLastChangeTime.0 = 59 days
lldpStatsRemTablesInserts.0 = 5993
lldpStatsRemTablesDeletes.0 = 5990
lldpStatsRemTablesDrops.0 = 0
lldpStatsRemTablesAgeouts.0 = 56
lldpStatsTxPortFramesTotal.1 = 136,073
lldpStatsTxPortFramesTotal.2 = 58,494
lldpStatsTxPortFramesTotal.3 = 23,733
lldpStatsTxPortFramesTotal.4 = 104,997
lldpStatsTxPortFramesTotal.5 = 29,522
lldpStatsTxPortFramesTotal.6 = 168,359
lldpStatsTxPortFramesTotal.7 = 170,692
lldpStatsTxPortFramesTotal.8 = 37,700
lldpStatsTxPortFramesTotal.9 = 29,483
lldpStatsTxPortFramesTotal.10 = 170,706
lldpStatsRxPortFramesDiscardedTotal.1 = 0
lldpStatsRxPortFramesDiscardedTotal.2 = 0
lldpStatsRxPortFramesDiscardedTotal.3 = 0
lldpStatsRxPortFramesDiscardedTotal.4 = 1
lldpStatsRxPortFramesDiscardedTotal.5 = 0
lldpStatsRxPortFramesDiscardedTotal.6 = 0
lldpStatsRxPortFramesDiscardedTotal.7 = 0
lldpStatsRxPortFramesDiscardedTotal.8 = 0
lldpStatsRxPortFramesDiscardedTotal.9 = 0
lldpStatsRxPortFramesDiscardedTotal.10 = 0
lldpStatsRxPortFramesErrors.1 = 0
[62;1H[2K-- MORE --, next page: Space, next line: Enter, quit: Control-C[62;1H[62;1H[2K[62;1H[1;62r[62;1HlldpStatsRxPortFramesErrors.2 = 0
lldpStatsRxPortFramesErrors.3 = 0
lldpStatsRxPortFramesErrors.4 = 1
lldpStatsRxPortFramesErrors.5 = 0
lldpStatsRxPortFramesErrors.6 = 0
lldpStatsRxPortFramesErrors.7 = 0
lldpStatsRxPortFramesErrors.8 = 0
lldpStatsRxPortFramesErrors.9 = 0
lldpStatsRxPortFramesErrors.10 = 0
lldpStatsRxPortFramesTotal.1 = 130,510
lldpStatsRxPortFramesTotal.2 = 10,868
lldpStatsRxPortFramesTotal.3 = 452
lldpStatsRxPortFramesTotal.4 = 13,788
lldpStatsRxPortFramesTotal.5 = 960
lldpStatsRxPortFramesTotal.6 = 5435
lldpStatsRxPortFramesTotal.7 = 170,688
lldpStatsRxPortFramesTotal.8 = 36,921
lldpStatsRxPortFramesTotal.9 = 29,105
lldpStatsRxPortFramesTotal.10 = 170,681
lldpStatsRxPortTLVsDiscardedTotal.1 = 0
lldpStatsRxPortTLVsDiscardedTotal.2 = 0
lldpStatsRxPortTLVsDiscardedTotal.3 = 0
lldpStatsRxPortTLVsDiscardedTotal.4 = 0
lldpStatsRxPortTLVsDiscardedTotal.5 = 0
lldpStatsRxPortTLVsDiscardedTotal.6 = 0
lldpStatsRxPortTLVsDiscardedTotal.7 = 0
lldpStatsRxPortTLVsDiscardedTotal.8 = 0
lldpStatsRxPortTLVsDiscardedTotal.9 = 0
lldpStatsRxPortTLVsDiscardedTotal.10 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.1 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.2 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.3 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.4 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.5 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.6 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.7 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.8 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.9 = 0
lldpStatsRxPortTLVsUnrecognizedTotal.10 = 0
lldpStatsRxPortAgeoutsTotal.1 = 26
lldpStatsRxPortAgeoutsTotal.2 = 8
lldpStatsRxPortAgeoutsTotal.3 = 1
lldpStatsRxPortAgeoutsTotal.4 = 6
lldpStatsRxPortAgeoutsTotal.5 = 0
lldpStatsRxPortAgeoutsTotal.6 = 1
lldpStatsRxPortAgeoutsTotal.7 = 0
lldpStatsRxPortAgeoutsTotal.8 = 7
lldpStatsRxPortAgeoutsTotal.9 = 5
lldpStatsRxPortAgeoutsTotal.10 = 2
lldpLocChassisIdSubtype.0 = 4
lldpLocChassisId.0 = 84 34 97 f3 1c 00 
lldpLocSysName.0 = SWR-HelpDesk
lldpLocSysDesc.0 = HP J9562A Switch 2915-8G-PoE, revision A.15.16.0021, ROM J.14.08 (/ws/swbuildm/maint_orlando_qaoff/code/build/lgr(swbuildm_maint_orlando_qaoff_maint_orlando))
lldpLocSysCapSupported.0 = (
lldpLocSysCapEnabled.0 =  
lldpLocPortIdSubtype.1 = 7
lldpLocPortIdSubtype.2 = 7
lldpLocPortIdSubtype.3 = 7
lldpLocPortIdSubtype.4 = 7
lldpLocPortIdSubtype.5 = 7
lldpLocPortIdSubtype.6 = 7
[62;1H[2K-- MORE --, next page: Space, next line: Enter, quit: Control-C[62;1H[62;1H[2K[62;1H[1;62r[62;1HlldpLocPortIdSubtype.7 = 7
lldpLocPortIdSubtype.8 = 7
lldpLocPortIdSubtype.9 = 7
lldpLocPortIdSubtype.10 = 7
lldpLocPortId.1 = 1
lldpLocPortId.2 = 2
lldpLocPortId.3 = 3
lldpLocPortId.4 = 4
lldpLocPortId.5 = 5
lldpLocPortId.6 = 6
lldpLocPortId.7 = 7
lldpLocPortId.8 = 8
lldpLocPortId.9 = 9
lldpLocPortId.10 = 10
lldpLocPortDesc.1 = 1
lldpLocPortDesc.2 = 2
lldpLocPortDesc.3 = 3
lldpLocPortDesc.4 = 4
lldpLocPortDesc.5 = 5
lldpLocPortDesc.6 = 6
lldpLocPortDesc.7 = 7
lldpLocPortDesc.8 = 8
lldpLocPortDesc.9 = 9
lldpLocPortDesc.10 = 10
lldpLocManAddrLen.1.4.172.23.34.47 = 4
lldpLocManAddrIfSubtype.1.4.172.23.34.47 = 2
lldpLocManAddrIfId.1.4.172.23.34.47 = 75
lldpLocManAddrOID.1.4.172.23.34.47 = zeroDotZero
lldpRemChassisIdSubtype.0.2.1 = 4
lldpRemChassisIdSubtype.0.5.1 = 7
lldpRemChassisIdSubtype.0.6.1 = 4
lldpRemChassisIdSubtype.0.7.1 = 4
lldpRemChassisIdSubtype.0.7.2 = 7
lldpRemChassisIdSubtype.0.8.1 = 4
lldpRemChassisIdSubtype.0.8.3 = 5
lldpRemChassisIdSubtype.0.10.1 = 4
lldpRemChassisId.0.2.1 = 70 b5 e8 14 d5 63 
lldpRemChassisId.0.5.1 = WSRA-20351
lldpRemChassisId.0.6.1 = a4 bb 6d c2 66 53 
lldpRemChassisId.0.7.1 = e0 55 3d 44 9f 20 
lldpRemChassisId.0.7.2 = e0553d449f20
lldpRemChassisId.0.8.1 = a4 bb 6d c2 93 e1 
lldpRemChassisId.0.8.3 = 01 ac 17 27 6d 
lldpRemChassisId.0.10.1 = c0 91 34 c5 c2 c0 
lldpRemPortIdSubtype.0.2.1 = 3
lldpRemPortIdSubtype.0.5.1 = 3
lldpRemPortIdSubtype.0.6.1 = 3
lldpRemPortIdSubtype.0.7.1 = 1
lldpRemPortIdSubtype.0.7.2 = 7
lldpRemPortIdSubtype.0.8.1 = 3
lldpRemPortIdSubtype.0.8.3 = 3
lldpRemPortIdSubtype.0.10.1 = 7
lldpRemPortId.0.2.1 = 70 b5 e8 14 d5 63 
lldpRemPortId.0.5.1 = e4 54 e8 7e 87 a8 
lldpRemPortId.0.6.1 = a4 bb 6d c2 66 53 
lldpRemPortId.0.7.1 = 0
lldpRemPortId.0.7.2 = Port 0
lldpRemPortId.0.8.1 = a4 bb 6d c2 93 e1 
lldpRemPortId.0.8.3 = 00 10 49 30 2c ef 
lldpRemPortId.0.10.1 = 33
lldpRemPortDesc.0.2.1 = 
[62;1H[2K-- MORE --, next page: Space, next line: Enter, quit: Control-C[62;1H[62;1H[2K[62;1H[1;62r[62;1HlldpRemPortDesc.0.5.1 = 
lldpRemPortDesc.0.6.1 = 
lldpRemPortDesc.0.7.1 = eth0
lldpRemPortDesc.0.7.2 = 
lldpRemPortDesc.0.8.1 = 
lldpRemPortDesc.0.8.3 = 
lldpRemPortDesc.0.10.1 = 33
lldpRemSysName.0.2.1 = 
lldpRemSysName.0.5.1 = 
lldpRemSysName.0.6.1 = 
lldpRemSysName.0.7.1 = RA-SuiteA
lldpRemSysName.0.7.2 = 
lldpRemSysName.0.8.1 = 
lldpRemSysName.0.8.3 = Serial Number: 001049302CEF
lldpRemSysName.0.10.1 = SWR-MCLLunchRm01
lldpRemSysDesc.0.2.1 = 
lldpRemSysDesc.0.5.1 = 
lldpRemSysDesc.0.6.1 = 
lldpRemSysDesc.0.7.1 = Meraki MR32 Cloud Managed AP
lldpRemSysDesc.0.7.2 = 1Meraki MR32 Cloud M
lldpRemSysDesc.0.8.1 = 
lldpRemSysDesc.0.8.3 = Shoretel 230g Boot Version: SEVG.3.9.7 on Mar 20 2014 App Version: SEVG.3.9.13 on Jan 8 2018 20:30:43
lldpRemSysDesc.0.10.1 = ProCurve J9148A 2910al-48G-PoE Switch, revision W.14.38, ROM W.14.04 (/sw/code/build/sbm(t4a))
lldpRemSysCapSupported.0.2.1 = 
lldpRemSysCapSupported.0.5.1 = 
lldpRemSysCapSupported.0.6.1 = 
lldpRemSysCapSupported.0.7.1 = 10 
lldpRemSysCapSupported.0.7.2 = (
lldpRemSysCapSupported.0.8.1 = 
lldpRemSysCapSupported.0.8.3 = $
lldpRemSysCapSupported.0.10.1 = (
lldpRemSysCapEnabled.0.2.1 = 
lldpRemSysCapEnabled.0.5.1 = 
lldpRemSysCapEnabled.0.6.1 = 
lldpRemSysCapEnabled.0.7.1 = 10 
lldpRemSysCapEnabled.0.7.2 = (
lldpRemSysCapEnabled.0.8.1 = 
lldpRemSysCapEnabled.0.8.3 = $
lldpRemSysCapEnabled.0.10.1 =  
lldpRemManAddrIfSubtype.0.7.2.1.4.152.153.119.220 = 2
lldpRemManAddrIfSubtype.0.10.1.1.4.172.23.34.30 = 2
lldpRemManAddrIfId.0.7.2.1.4.152.153.119.220 = 0
lldpRemManAddrIfId.0.10.1.1.4.172.23.34.30 = 0
lldpRemManAddrOID.0.7.2.1.4.152.153.119.220 = zeroDotZero
lldpRemManAddrOID.0.10.1.1.4.172.23.34.30 = zeroDotZero
lldpXdot3PortConfigTLVsTxEnable.1 = 80 
lldpXdot3PortConfigTLVsTxEnable.2 = 80 
lldpXdot3PortConfigTLVsTxEnable.3 = 80 
lldpXdot3PortConfigTLVsTxEnable.4 = 80 
lldpXdot3PortConfigTLVsTxEnable.5 = 80 
lldpXdot3PortConfigTLVsTxEnable.6 = 80 
lldpXdot3PortConfigTLVsTxEnable.7 = 80 
lldpXdot3PortConfigTLVsTxEnable.8 = 80 
lldpXdot3PortConfigTLVsTxEnable.9 = 80 
lldpXdot3PortConfigTLVsTxEnable.10 = 80 
lldpXdot3LocPortAutoNegSupported.1 = 1
lldpXdot3LocPortAutoNegSupported.2 = 1
lldpXdot3LocPortAutoNegSupported.3 = 1
lldpXdot3LocPortAutoNegSupported.4 = 1
lldpXdot3LocPortAutoNegSupported.5 = 1
lldpXdot3LocPortAutoNegSupported.6 = 1
[62;1H[2K-- MORE --, next page: Space, next line: Enter, quit: Control-C[62;1H[62;1H[2K[62;1H[1;62r[62;1HlldpXdot3LocPortAutoNegSupported.7 = 1
lldpXdot3LocPortAutoNegSupported.8 = 1
lldpXdot3LocPortAutoNegSupported.9 = 1
lldpXdot3LocPortAutoNegSupported.10 = 1
lldpXdot3LocPortAutoNegEnabled.1 = 1
lldpXdot3LocPortAutoNegEnabled.2 = 1
lldpXdot3LocPortAutoNegEnabled.3 = 1
lldpXdot3LocPortAutoNegEnabled.4 = 1
lldpXdot3LocPortAutoNegEnabled.5 = 1
lldpXdot3LocPortAutoNegEnabled.6 = 1
lldpXdot3LocPortAutoNegEnabled.7 = 1
lldpXdot3LocPortAutoNegEnabled.8 = 1
lldpXdot3LocPortAutoNegEnabled.9 = 1
lldpXdot3LocPortAutoNegEnabled.10 = 1
lldpXdot3LocPortAutoNegAdvertisedCap.1 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.2 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.3 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.4 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.5 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.6 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.7 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.8 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.9 = 6c 01 
lldpXdot3LocPortAutoNegAdvertisedCap.10 = 6c 01 
lldpXdot3LocPortOperMauType.1 = 30
lldpXdot3LocPortOperMauType.2 = 30
lldpXdot3LocPortOperMauType.3 = 30
lldpXdot3LocPortOperMauType.4 = 30
lldpXdot3LocPortOperMauType.5 = 30
lldpXdot3LocPortOperMauType.6 = 30
lldpXdot3LocPortOperMauType.7 = 30
lldpXdot3LocPortOperMauType.8 = 30
lldpXdot3LocPortOperMauType.9 = 30
lldpXdot3LocPortOperMauType.10 = 30
lldpXdot3RemPortAutoNegSupported.0.2.1 = 1
lldpXdot3RemPortAutoNegSupported.0.5.1 = 1
lldpXdot3RemPortAutoNegSupported.0.6.1 = 1
lldpXdot3RemPortAutoNegSupported.0.8.1 = 1
lldpXdot3RemPortAutoNegSupported.0.8.3 = 1
lldpXdot3RemPortAutoNegSupported.0.10.1 = 1
lldpXdot3RemPortAutoNegEnabled.0.2.1 = 1
lldpXdot3RemPortAutoNegEnabled.0.5.1 = 1
lldpXdot3RemPortAutoNegEnabled.0.6.1 = 1
lldpXdot3RemPortAutoNegEnabled.0.8.1 = 1
lldpXdot3RemPortAutoNegEnabled.0.8.3 = 1
lldpXdot3RemPortAutoNegEnabled.0.10.1 = 1
lldpXdot3RemPortAutoNegAdvertisedCap.0.2.1 = 00 01 
lldpXdot3RemPortAutoNegAdvertisedCap.0.5.1 = 00 01 
lldpXdot3RemPortAutoNegAdvertisedCap.0.6.1 = 00 01 
lldpXdot3RemPortAutoNegAdvertisedCap.0.8.1 = 00 01 
lldpXdot3RemPortAutoNegAdvertisedCap.0.8.3 = 6c 03 
lldpXdot3RemPortAutoNegAdvertisedCap.0.10.1 = 6c 01 
lldpXdot3RemPortOperMauType.0.2.1 = 0
lldpXdot3RemPortOperMauType.0.5.1 = 0
lldpXdot3RemPortOperMauType.0.6.1 = 0
lldpXdot3RemPortOperMauType.0.8.1 = 0
lldpXdot3RemPortOperMauType.0.8.3 = 30
lldpXdot3RemPortOperMauType.0.10.1 = 30
lldpXMedLocDeviceClass.0 = 4
lldpXMedPortCapSupported.1 = f0 
lldpXMedPortCapSupported.2 = f0 
[62;1H[2K-- MORE --, next page: Space, next line: Enter, quit: Control-C[62;1H[62;1H[2K[62;1H[1;62r[62;1HlldpXMedPortCapSupported.3 = f0 
lldpXMedPortCapSupported.4 = f0 
lldpXMedPortCapSupported.5 = f0 
lldpXMedPortCapSupported.6 = f0 
lldpXMedPortCapSupported.7 = f0 
lldpXMedPortCapSupported.8 = f0 
lldpXMedPortCapSupported.9 = f0 
lldpXMedPortCapSupported.10 = f0 
lldpXMedPortConfigTLVsTxEnable.1 = f0 
lldpXMedPortConfigTLVsTxEnable.2 = f0 
lldpXMedPortConfigTLVsTxEnable.3 = f0 
lldpXMedPortConfigTLVsTxEnable.4 = f0 
lldpXMedPortConfigTLVsTxEnable.5 = f0 
lldpXMedPortConfigTLVsTxEnable.6 = f0 
lldpXMedPortConfigTLVsTxEnable.7 = f0 
lldpXMedPortConfigTLVsTxEnable.8 = f0 
lldpXMedPortConfigTLVsTxEnable.9 = f0 
lldpXMedPortConfigTLVsTxEnable.10 = f0 
lldpXMedPortConfigNotifEnable.1 = 2
lldpXMedPortConfigNotifEnable.2 = 2
lldpXMedPortConfigNotifEnable.3 = 2
lldpXMedPortConfigNotifEnable.4 = 2
lldpXMedPortConfigNotifEnable.5 = 2
lldpXMedPortConfigNotifEnable.6 = 2
lldpXMedPortConfigNotifEnable.7 = 2
lldpXMedPortConfigNotifEnable.8 = 2
lldpXMedPortConfigNotifEnable.9 = 2
lldpXMedPortConfigNotifEnable.10 = 2
lldpXMedFastStartRepeatCount.0 = 5
lldpXMedLocHardwareRev.0 = 0
lldpXMedLocFirmwareRev.0 = J.14.08
lldpXMedLocSoftwareRev.0 = A.15.16.0021
lldpXMedLocSerialNum.0 = CN30B031VH 
lldpXMedLocMfgName.0 = Hewlett-Packard
lldpXMedLocModelName.0 = J9562A
lldpXMedLocAssetID.0 = 
lldpXMedLocLocationInfo.1.2 = 
lldpXMedLocLocationInfo.1.3 = 
lldpXMedLocLocationInfo.1.4 = 
lldpXMedLocLocationInfo.2.2 = 
lldpXMedLocLocationInfo.2.3 = 
lldpXMedLocLocationInfo.2.4 = 
lldpXMedLocLocationInfo.3.2 = 
lldpXMedLocLocationInfo.3.3 = 
lldpXMedLocLocationInfo.3.4 = 
lldpXMedLocLocationInfo.4.2 = 
lldpXMedLocLocationInfo.4.3 = 
lldpXMedLocLocationInfo.4.4 = 
lldpXMedLocLocationInfo.5.2 = 
lldpXMedLocLocationInfo.5.3 = 
lldpXMedLocLocationInfo.5.4 = 
lldpXMedLocLocationInfo.6.2 = 
lldpXMedLocLocationInfo.6.3 = 
lldpXMedLocLocationInfo.6.4 = 
lldpXMedLocLocationInfo.7.2 = 
lldpXMedLocLocationInfo.7.3 = 
lldpXMedLocLocationInfo.7.4 = 
lldpXMedLocLocationInfo.8.2 = 
lldpXMedLocLocationInfo.8.3 = 
lldpXMedLocLocationInfo.8.4 = 
lldpXMedLocLocationInfo.9.2 = 
[62;1H[2K-- MORE --, next page: Space, next line: Enter, quit: Control-C[62;1H[62;1H[2K[62;1H[1;62r[62;1HlldpXMedLocLocationInfo.9.3 = 
lldpXMedLocLocationInfo.9.4 = 
lldpXMedLocLocationInfo.10.2 = 
lldpXMedLocLocationInfo.10.3 = 
lldpXMedLocLocationInfo.10.4 = 
lldpXMedLocXPoEDeviceType.0 = 2
lldpXMedLocXPoEPSEPortPowerAv.1 = 0
lldpXMedLocXPoEPSEPortPowerAv.2 = 0
lldpXMedLocXPoEPSEPortPowerAv.3 = 0
lldpXMedLocXPoEPSEPortPowerAv.4 = 0
lldpXMedLocXPoEPSEPortPowerAv.5 = 0
lldpXMedLocXPoEPSEPortPowerAv.6 = 0
lldpXMedLocXPoEPSEPortPowerAv.7 = 95
lldpXMedLocXPoEPSEPortPowerAv.8 = 48
lldpXMedLocXPoEPSEPortPowerAv.9 = 0
lldpXMedLocXPoEPSEPortPowerAv.10 = 0
lldpXMedLocXPoEPSEPortPDPriority.1 = 4
lldpXMedLocXPoEPSEPortPDPriority.2 = 4
lldpXMedLocXPoEPSEPortPDPriority.3 = 4
lldpXMedLocXPoEPSEPortPDPriority.4 = 4
lldpXMedLocXPoEPSEPortPDPriority.5 = 4
lldpXMedLocXPoEPSEPortPDPriority.6 = 4
lldpXMedLocXPoEPSEPortPDPriority.7 = 4
lldpXMedLocXPoEPSEPortPDPriority.8 = 4
lldpXMedLocXPoEPSEPortPDPriority.9 = 4
lldpXMedLocXPoEPSEPortPDPriority.10 = 4
lldpXMedLocXPoEPSEPowerSource.0 = 1
lldpXMedRemCapSupported.0.2.1 = 80 
lldpXMedRemCapSupported.0.5.1 = 80 
lldpXMedRemCapSupported.0.6.1 = 80 
lldpXMedRemCapSupported.0.8.1 = 80 
lldpXMedRemCapSupported.0.8.3 = e8 
lldpXMedRemCapCurrent.0.2.1 = 80 
lldpXMedRemCapCurrent.0.5.1 = 80 
lldpXMedRemCapCurrent.0.6.1 = 80 
lldpXMedRemCapCurrent.0.8.1 = 80 
lldpXMedRemCapCurrent.0.8.3 = c8 
lldpXMedRemDeviceClass.0.2.1 = 1
lldpXMedRemDeviceClass.0.5.1 = 1
lldpXMedRemDeviceClass.0.6.1 = 1
lldpXMedRemDeviceClass.0.8.1 = 1
lldpXMedRemDeviceClass.0.8.3 = 3
lldpXMedRemMediaPolicyVlanID.0.8.3.2.64.0 = 99
lldpXMedRemMediaPolicyPriority.0.8.3.2.64.0 = 5
lldpXMedRemMediaPolicyDscp.0.8.3.2.64.0 = 46
lldpXMedRemMediaPolicyUnknown.0.8.3.2.64.0 = 2
lldpXMedRemMediaPolicyTagged.0.8.3.2.64.0 = 1
lldpXMedRemXPoEDeviceType.0.8.3 = 3
lldpXMedRemXPoEPDPowerReq.0.8.3 = 59
lldpXMedRemXPoEPDPowerSource.0.8.3 = 2
